episode,total_reward,avg_energy_saved,avg_comfort_score,avg_wait_time,epsilon
197,44.0,-0.93,0.897,0.0472,0.372518
198,62.0,2.7045,0.919,0.038,0.370655
199,14.5,1.9755,0.897,0.065,0.368802
200,21.0,-0.357,0.901,0.0643,0.366958
201,36.0,-0.279,0.918,0.0508,0.365123
202,37.5,2.3865,0.869,0.0652,0.363297
203,54.0,2.8395,0.895,0.0485,0.361481
204,-15.5,0.6765,0.874,0.0663,0.359674
205,45.5,1.9815,0.921,0.0512,0.357875
206,92.5,3.276,0.905,0.035,0.356086
207,77.0,1.9605,0.921,0.0422,0.354305
208,65.5,2.556,0.913,0.0437,0.352534
209,32.0,0.252,0.869,0.0515,0.350771
210,-3.0,-0.1605,0.9,0.0717,0.349017
211,31.5,4.0335,0.913,0.0595,0.347272
212,37.0,0.969,0.897,0.055,0.345536
213,107.5,5.604,0.937,0.039,0.343808
214,-4.5,-1.314,0.874,0.0658,0.342089
215,65.0,3.552,0.913,0.0527,0.340379
216,85.5,0.6345,0.921,0.035,0.338677
217,69.5,1.2135,0.915,0.0495,0.336983
218,81.0,2.9625,0.89,0.045,0.335298
219,60.5,1.278,0.882,0.0495,0.333622
220,25.5,2.157,0.867,0.0655,0.331954
221,82.0,2.871,0.919,0.0408,0.330294
222,76.5,1.554,0.893,0.0393,0.328643
223,129.5,5.8455,0.95,0.0322,0.326999
224,66.5,1.596,0.877,0.0503,0.325364
225,34.5,1.9545,0.899,0.0532,0.323738
226,71.5,3.012,0.933,0.0403,0.322119
227,69.5,2.172,0.882,0.0448,0.320508
228,54.5,1.731,0.92,0.0517,0.318906
229,30.5,2.7045,0.884,0.057,0.317311
230,83.5,4.107,0.899,0.0445,0.315725
231,57.0,2.271,0.897,0.0472,0.314146
232,87.0,4.593,0.912,0.0437,0.312575
233,65.0,-0.831,0.912,0.0418,0.311012
234,50.5,2.9925,0.885,0.0532,0.309457
235,38.0,-1.011,0.89,0.0505,0.30791
236,81.5,1.8675,0.943,0.0398,0.306371
237,115.5,0.4755,0.921,0.0345,0.304839
238,60.0,2.6175,0.946,0.0478,0.303315
239,92.5,1.53,0.915,0.042,0.301798
240,80.0,1.0365,0.894,0.0413,0.300289
241,79.5,3.117,0.932,0.0492,0.298788
242,98.0,2.8335,0.923,0.0397,0.297294
243,74.0,1.764,0.899,0.0382,0.295807
244,94.0,3.921,0.952,0.0407,0.294328
245,40.0,-0.609,0.887,0.044,0.292856
246,93.5,0.5955,0.896,0.0382,0.291392
247,94.5,1.7385,0.946,0.0368,0.289935
248,63.5,1.326,0.912,0.0495,0.288486
249,94.5,2.586,0.924,0.0408,0.287043
250,54.5,3.9675,0.908,0.043,0.285608
251,114.5,0.195,0.913,0.0328,0.28418
252,63.0,2.424,0.909,0.0425,0.282759
253,63.0,1.6695,0.92,0.04,0.281345
254,138.5,6.0135,0.955,0.0362,0.279938
255,3.0,0.4725,0.84,0.0603,0.278539
256,27.5,2.9535,0.877,0.0583,0.277146
257,37.0,2.7,0.929,0.0528,0.27576
258,130.0,1.8255,0.94,0.0288,0.274382
259,110.5,1.434,0.924,0.0325,0.27301
260,64.0,1.065,0.906,0.0505,0.271645
261,114.5,-0.2535,0.925,0.0233,0.270286
262,95.0,2.4705,0.945,0.043,0.268935
263,125.0,2.5035,0.931,0.0352,0.26759
264,114.5,2.3145,0.91,0.027,0.266252
265,83.5,4.0185,0.914,0.0492,0.264921
266,133.5,2.7765,0.947,0.029,0.263596
267,80.0,-0.438,0.898,0.0335,0.262278
268,106.0,2.61,0.914,0.032,0.260967
269,98.5,1.248,0.915,0.0332,0.259662
270,37.0,0.6255,0.909,0.0547,0.258364
271,100.0,2.7855,0.908,0.0433,0.257072
272,52.5,3.297,0.959,0.0475,0.255787
273,45.0,1.371,0.904,0.0462,0.254508
274,103.5,1.974,0.952,0.0472,0.253235
275,40.5,3.51,0.896,0.064,0.251969
276,85.5,1.2735,0.907,0.0397,0.250709
277,80.5,2.9265,0.929,0.0417,0.249456
278,109.0,1.443,0.934,0.027,0.248208
279,106.5,1.575,0.951,0.03,0.246967
280,135.0,3.213,0.945,0.0258,0.245733
281,119.5,0.3615,0.901,0.0295,0.244504
282,131.0,2.8215,0.965,0.0257,0.243281
283,142.0,2.6445,0.957,0.0185,0.242065
284,103.0,2.9235,0.918,0.0288,0.240855
285,79.5,2.721,0.939,0.0413,0.23965
286,146.0,5.7315,0.955,0.035,0.238452
287,178.0,4.941,0.965,0.017,0.23726
288,102.0,3.249,0.918,0.0437,0.236074
289,115.5,2.838,0.919,0.03,0.234893
290,166.5,2.562,0.948,0.017,0.233719
291,112.0,2.181,0.909,0.0328,0.23255
292,75.5,0.2415,0.918,0.0428,0.231387
293,119.5,3.5715,0.934,0.0367,0.23023
294,118.0,-0.579,0.914,0.0285,0.229079
295,101.5,0.6555,0.909,0.038,0.227934
296,126.0,4.041,0.938,0.0355,0.226794
297,180.5,8.022,0.964,0.0272,0.22566
298,90.0,2.0805,0.892,0.0358,0.224532
299,96.5,2.7435,0.897,0.039,0.223409
300,126.5,4.77,0.96,0.0258,0.222292
301,115.0,6.336,0.946,0.0472,0.221181
302,135.5,2.937,0.935,0.0308,0.220075
303,154.5,0.741,0.935,0.016,0.218974
304,87.5,1.02,0.918,0.042,0.21788
